Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/Scotland/EDB3872/2020	EPI_ISL_439350	2020-05-01	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore				B.1.1.162	GR
hCoV-19/Scotland/EDB3882/2020	EPI_ISL_439353	2020-05-01	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore				B.1.1.4	GR
hCoV-19/Scotland/EDB3887/2020	EPI_ISL_439354	2020-05-01	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/Scotland/EDB3892/2020	EPI_ISL_439357	2020-05-01	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore				B.1.1.4	GR
hCoV-19/Scotland/EDB3894/2020	EPI_ISL_439358	2020-05-01	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore				B.1.1.4	GR
hCoV-19/Scotland/EDB3895/2020	EPI_ISL_439359	2020-05-01	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore				B.1.1.4	GR
hCoV-19/Scotland/EDB3897/2020	EPI_ISL_439360	2020-05-01	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore				B.1.1.4	GR
hCoV-19/Scotland/EDB3919/2020	EPI_ISL_439367	2020-05-02	Europe / United Kingdom / Scotland	Human	Original			Oxford Nanopore				B.1.1.162	GR
hCoV-19/England/CAMB-1AD8DF/2020	EPI_ISL_448021	2020-05-01	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.3	GR
hCoV-19/England/CAMB-1AD918/2020	EPI_ISL_448024	2020-05-02	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.1	GR
hCoV-19/England/CAMB-1AD963/2020	EPI_ISL_448028	2020-05-01	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1AD972/2020	EPI_ISL_448029	2020-05-02	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.166	GR
hCoV-19/England/CAMB-1ADAF7/2020	EPI_ISL_448033	2020-05-01	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1ADB12/2020	EPI_ISL_448034	2020-05-01	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1ADB21/2020	EPI_ISL_448035	2020-05-01	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1ADB5E/2020	EPI_ISL_448037	2020-05-03	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1ADB7C/2020	EPI_ISL_448039	2020-05-03	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1ADB9A/2020	EPI_ISL_448041	2020-05-03	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1ADBB8/2020	EPI_ISL_448043	2020-05-04	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.313	GR
hCoV-19/England/CAMB-1ADBC7/2020	EPI_ISL_448044	2020-05-04	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.89	GR
hCoV-19/England/CAMB-1ADBE5/2020	EPI_ISL_448046	2020-05-04	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1ADBF4/2020	EPI_ISL_448047	2020-05-04	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.1	GR
hCoV-19/England/CAMB-1ADC79/2020	EPI_ISL_448049	2020-05-06	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1AE391/2020	EPI_ISL_448051	2020-05-04	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.162	GR
hCoV-19/England/CAMB-1AE3CE/2020	EPI_ISL_448053	2020-05-05	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.162	GR
hCoV-19/England/CAMB-1AEBB7/2020	EPI_ISL_448056	2020-05-01	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1AEBC6/2020	EPI_ISL_448057	2020-05-02	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.274	GR
hCoV-19/England/CAMB-1AEBE4/2020	EPI_ISL_448059	2020-05-04	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.178	GR
hCoV-19/England/CAMB-1AEBF3/2020	EPI_ISL_448060	2020-05-04	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.74	GR
hCoV-19/England/CAMB-1AEC4B/2020	EPI_ISL_448064	2020-05-04	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.3	GR
hCoV-19/England/CAMB-1AEC5A/2020	EPI_ISL_448065	2020-05-05	Europe / United Kingdom / England	Human	Original			Oxford Nanopore				B.1.1.107	GR
