Virus name	Accession ID	Collection date	Location	Host	Passage	Specimen	Additional host information	Sequencing technology	Assembly method	Comment	Comment type	Lineage	Clade
hCoV-19/South Africa/KRISP-EC-K004572/2020	EPI_ISL_660609	2020-11-12	Africa / South Africa / Eastern Cape / Nelson Mandela Bay	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/KRISP-EC-K005341/2020	EPI_ISL_678626	2020-11-12	Africa / South Africa / Eastern Cape / Chris Hani	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/KRISP-EC-K005347/2020	EPI_ISL_678631	2020-11-12	Africa / South Africa / Eastern Cape / Nelson Mandela Bay	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-2090-KRISP/2020	EPI_ISL_696452	2020-11-19	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-2101-KRISP/2020	EPI_ISL_696455	2020-11-19	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7001-KRISP/2020	EPI_ISL_696458	2020-11-20	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-3558-KRISP/2020	EPI_ISL_696459	2020-11-20	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	O
hCoV-19/South Africa/NHLS-UCT-GS-1392-KRISP/2020	EPI_ISL_696460	2020-11-20	Africa / South Africa / Western Cape / Bitou	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1912-KRISP/2020	EPI_ISL_696461	2020-11-19	Africa / South Africa / Western Cape / George	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-7012-KRISP/2020	EPI_ISL_696463	2020-11-18	Africa / South Africa / Western Cape / Knysna	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
hCoV-19/South Africa/NHLS-UCT-GS-1851-KRISP/2020	EPI_ISL_696466	2020-11-19	Africa / South Africa / Western Cape / Mossel Bay	Human	Original	Oropharyngeal swab		Illumina MiSeq	Genome Detective 1.126 bcftools mpileup	Gap of 9 nucleotides when compared to the reference sequence.	info	B.1.351	GH
